Name,f,m,Keine Person,Unbekannt,Zuordnung,Bemerkungen
Egmontstraße,,x,,,m,
Ehlegrund,,,x,,n,
Eibenweg,,,x,,n,
Eichendorffstraße,,x,,,m,
Eichenweg,,,x,,n,
Eichplatz,,,x,,n,
Eickendorfer Straße,,,x,,n,
Eigene Scholle,,,x,,n,
Eimersleber Weg,,,x,,n,
Einbahnstraße,,,x,,n,
Einsteinstraße,,x,,,m,
Eisenacher Straße,,,x,,n,
Eiskellerplatz,,,x,,n,
Eisleber Straße,,,x,,n,
Eisnerstraße,,x,,,m,
Eisvogelstraße,,,x,,n,
Elbenauer Straße,,,x,,n,
Elbeuer Straße,,,x,,n,
Elbstraße,,,x,,n,
Elbweg,,,x,,n,
Elisenstraße,x,,,,f,
Elmer Straße,,,x,,n,
Elsterweg,,,x,,n,
Emanuel-Larisch-Weg,,x,,,m,
Emdener Weg,,,x,,n,
Emil-Rungwerth-Weg,,x,,,m,
Emilien-Privatweg,,,,x,?,
Endelstraße,,,,x,?,
Engel-Privatweg,,,,x,?,
Erdbeerweg,,,x,,n,
Erfurter Straße,,,x,,n,
Erhard-Hübener-Platz,,x,,,m,
Erich-Brose-Weg,,x,,,m,
Erich-Kästner-Straße,,x,,,m,
Erich-Mühsam-Straße,,x,,,m,
Erich-Weinert-Straße,,x,,,m,
Erlenweg,,,x,,n,
Erlkönigstraße,,,x,,n,
Ernst-Lehmann-Straße,,x,,,m,
Ernst-Reuter-Allee,,x,,,m,
Ernst-Toller-Straße,,x,,,m,
Ernst-Wille-Straße,,x,,,m,
Erpitzer Straße,,,x,,n,
Erxleber Straße,,,x,,n,
Erzbergerstraße,,x,,,m,
Eschenröder Straße,,,x,,n,
Eschenweg,,,x,,n,
